order.Id,correlationOrder,associatedDocument,associatedDocumentDate,type,infraType,id,inventoryId,reference,complements,name,subscriberId,phoneNumbers,subscriberIdOld,businessUnity,fantasyName,email,phone,hasSlot,mandatoryType,date,workOrderId,product,equipment,code,description,observation,updateDate,action,task,fieldActivity,reason,orderItem,statusCode,scenario
"1","10","VTT001","2021-06-09T18:20:53-03:00","Instalacao","FTTH","14393","1766156","Do lado da padaria","ARC201","Sandbox V.tal","SVTAL001","000000000","","varejo","InterHome Internet","sindicovtal@vtal.com","21999900000","true","Obrigatorio","2021-05-05T08:00:00","SA-562403","BL_200MB","","","","","adicionar","","","","","200","Success"
"2","10","VTT001","2021-06-09T18:20:53-03:00","Instalacao","FTTP","14393","1766156","Proximo a padaria","ARC201","Sandbox V.tal","SVTAL001","21999999999","","empresarial","InterCorp Internet","sindicovtal@vtal.com","21999900000","false","Permitido","","","BL_200MB","","","","","adicionar","","","","","400","Bad Request"
"3","9","VTT001","2021-06-09T18:20:53-03:00","Instalacao","FTTH","14393","1766156","Do lado da padaria","ARC201","Sandbox V.tal","SVTAL001","21999999999","11900000009","varejo","InterHome Internet","sindicovtal@vtal.com","21999900000","true","Obrigatorio","","","BL_200MB","","","","","adicionar","","","","","401","Unauthorized"
"4","9","VTT001","2021-06-09T18:20:53-03:00","Instalacao","FTTH","14393","1766156","Do lado da padaria","ARC201","Sandbox V.tal","SVTAL001","21999999999","","varejo","InterHome Internet","sindicovtal@vtal.com","21999900000","true","Obrigatorio","2021-05-05T08:00:00","SA-562403","BL_200MB","","","","","adicionar","","","","","403","Forbidden - Scope Not Permitted"
"5","10","VTT001","2021-06-09T18:20:53-03:00","Instalacao","FTTP","14393","1766156","Proximo a padaria","ARC201","Sandbox V.tal","SVTAL001","000000000","","empresarial","InterCorp Internet","sindicovtal@vtal.com","21999900000","false","Permitido","","","BL_200MB","","","","","adicionar","","","","","404","Not Found"
"6","9","VTT001","2021-06-09T18:20:53-03:00","Retirada","FTTH","14393","1766156","Do lado da padaria","ARC201","Sandbox V.tal","SVTAL001","000000000","","varejo","InterHome Internet","sindicovtal@vtal.com","21999900000","true","Obrigatorio","2020-11-13T16:20:00","SA-562403","BL_200MB","","","","","remover","","","","","406","Not Acceptable"
"7","10","VTT001","2021-06-09T18:20:53-03:00","Retirada","FTTP","14393","1766156","Do lado da padaria","ARC201","Sandbox V.tal","SVTAL001","000000000","","empresarial","InterCorp Internet","sindicovtal@vtal.com","21999900000","false","Permitido","","","BL_200MB","","","","","remover","","","","","429","Too Many Requests - Exceeded Quota"
"8","9","VTT001","2021-06-09T18:20:53-03:00","Bloqueio","FTTH","14393","1766156","Ao lado da padaria","ARC201","Sandbox V.tal","SVTAL001","000000000","varejo","InterHome Internet","sindicovtal@vtal.com","21999900000","","","","","BL_200MB","","","","","bloquear total","","","","","500","Internal Server Error"
"9","10","VTT001","2021-06-09T18:20:53-03:00","Bloqueio","FTTP","14393","1766156","Ao lado da padaria","ARC201","Sandbox V.tal","SVTAL001","000000000","","empresarial","InterCorp Internet","sindicovtal@vtal.com","21999900000","","","","","BL_200MB","","","","","bloquear total","","","","","503","Service Unavailable"
"10","9","VTT001","2021-06-09T18:20:53-03:00","Desbloqueio","FTTH","14393","1766156","Ao lado da padaria","ARC201","Sandbox V.tal","SVTAL001","000000000","","varejo","InterHome Internet","sindicovtal@vtal.com","21999900000","","","","","BL_200MB","","","","","desbloquear total","","","","","504","Gateway Timeout"
